name,window,hop,lag,modes,return_fraction,winding_tolerance,noise_floor_multiple,real_odd,null_mean,null_std,excess,z,p_upper,p_lower,p_two_sided,positive_excess,has_real_event
baseline,2048,512,8,6,0.25,0.2,4.0,2.0,0.246,0.48112784163878936,1.754,3.6456007077494887,0.02197802197802198,0.999000999000999,0.04395604395604396,True,True
window=1792,1792,512,8,6,0.25,0.2,4.0,1.0,0.277,0.5121240084198357,0.723,1.4117674393540203,0.24675324675324675,0.9690309690309691,0.4935064935064935,True,True
window=2304,2304,512,8,6,0.25,0.2,4.0,0.0,0.214,0.47350184793725997,-0.214,-0.4519517736452499,1.0,0.8121878121878122,1.0,False,False
hop=384,2048,384,8,6,0.25,0.2,4.0,0.0,0.59,0.7860661549767933,-0.59,-0.7505729591126687,1.0,0.5604395604395604,1.0,False,False
hop=640,2048,640,8,6,0.25,0.2,4.0,0.0,0.048,0.21839413911549915,-0.048,-0.21978611786095187,1.0,0.9530469530469531,1.0,False,False
lag=4,2048,512,4,6,0.25,0.2,4.0,0.0,0.247,0.49798694762011586,-0.247,-0.49599693562234765,1.0,0.7802197802197802,1.0,False,False
lag=16,2048,512,16,6,0.25,0.2,4.0,1.0,0.254,0.5133069257276781,0.746,1.4533215170260882,0.22377622377622378,0.973026973026973,0.44755244755244755,True,True
modes=5,2048,512,8,5,0.25,0.2,4.0,2.0,0.171,0.42161475306255586,1.829,4.338083491410201,0.01898101898101898,1.0,0.03796203796203796,True,True
modes=7,2048,512,8,7,0.25,0.2,4.0,2.0,0.335,0.592262610671989,1.665,2.8112529307025773,0.04995004995004995,0.994005994005994,0.0999000999000999,True,True
return_fraction=0.2,2048,512,8,6,0.2,0.2,4.0,2.0,0.177,0.4191312443614768,1.823,4.349472926488432,0.011988011988011988,0.998001998001998,0.023976023976023976,True,True
return_fraction=0.3,2048,512,8,6,0.3,0.2,4.0,2.0,0.284,0.5189836220922583,1.716,3.306462722424109,0.03196803196803197,0.999000999000999,0.06393606393606394,True,True
winding_tolerance=0.15,2048,512,8,6,0.25,0.15,4.0,2.0,0.26,0.49030602688525055,1.74,3.54880402154158,0.022977022977022976,0.999000999000999,0.04595404595404595,True,True
winding_tolerance=0.25,2048,512,8,6,0.25,0.25,4.0,2.0,0.212,0.4594083151184794,1.788,3.891962642284763,0.01898101898101898,0.998001998001998,0.03796203796203796,True,True
noise_floor_multiple=3.5,2048,512,8,6,0.25,0.2,3.5,2.0,0.327,0.5865756558194348,1.673,2.852147005078142,0.04895104895104895,0.993006993006993,0.0979020979020979,True,True
noise_floor_multiple=4.5,2048,512,8,6,0.25,0.2,4.5,1.0,0.185,0.4390614991091794,0.815,1.8562319894860138,0.16783216783216784,0.985014985014985,0.3356643356643357,True,True
noise_floor_multiple=5.0,2048,512,8,6,0.25,0.2,5.0,0.0,0.095,0.3193352470367153,-0.095,-0.2974929979739442,1.0,0.9120879120879121,1.0,False,False
