file,sample_rate,window_seconds,lag_seconds,window_samples,lag_samples,folds,predictive_gain_median,predictive_gain_mean,predictive_gain_std
2.edf,160.0,4.0,0.025,640,4,119,0.15561224484745562,0.11478571016599382,0.17195998621805808
2.edf,160.0,4.0,0.05,640,8,119,-0.05409004332069456,-0.07019407532614712,0.16348700975474892
2.edf,160.0,4.0,0.1,640,16,119,-0.27847596529934826,-0.30559982164693983,0.19778001350386018
2.edf,160.0,4.0,0.2,640,32,119,-0.39759799732070156,-0.44277309233168916,0.23082419917084368
2.edf,160.0,6.0,0.025,960,4,78,0.23461516278238176,0.22145377434734753,0.11503972118680517
2.edf,160.0,6.0,0.05,960,8,78,0.044668838696483915,0.03238856798108361,0.13399224323116835
2.edf,160.0,6.0,0.1,960,16,78,-0.22194946246899527,-0.2721816725016767,0.18779991796455855
2.edf,160.0,6.0,0.2,960,32,78,-0.4524436631822293,-0.49601641933843155,0.21769312235285374
2.edf,160.0,8.0,0.025,1280,4,57,0.28886913635487055,0.287938732963765,0.08107952157651092
2.edf,160.0,8.0,0.05,1280,8,57,0.1368032709982554,0.1113108358411495,0.1124597224092744
2.edf,160.0,8.0,0.1,1280,16,57,-0.1771928526754405,-0.2072529614632041,0.16106791299820747
2.edf,160.0,8.0,0.2,1280,32,57,-0.415262850384444,-0.4766173204787302,0.20708385554330774
2.edf,160.0,10.0,0.025,1600,4,45,0.3228603297109075,0.33566588680313775,0.06854944321158855
2.edf,160.0,10.0,0.05,1600,8,45,0.18708562273987672,0.18746553053967427,0.07874247714428725
2.edf,160.0,10.0,0.1,1600,16,45,-0.10254245039332832,-0.13106398998056007,0.13298821033932462
2.edf,160.0,10.0,0.2,1600,32,45,-0.425655101172818,-0.453839788903701,0.19181198088886708
2.edf,160.0,12.0,0.025,1920,4,37,0.36323214608292687,0.3631207712653868,0.0810723273688636
2.edf,160.0,12.0,0.05,1920,8,37,0.2346688626090605,0.2326877673172983,0.08155987521163235
2.edf,160.0,12.0,0.1,1920,16,37,-0.07055796269980585,-0.07531862491729219,0.09009010416346074
2.edf,160.0,12.0,0.2,1920,32,37,-0.38581527023200324,-0.4207158692289974,0.154710323163142
2.edf,160.0,16.0,0.025,2560,4,26,0.4221969209533105,0.42622963508438083,0.04899684311006043
2.edf,160.0,16.0,0.05,2560,8,26,0.31389460331534236,0.31065254143112087,0.05741217453130764
2.edf,160.0,16.0,0.1,2560,16,26,0.028368341611827663,0.02124447690803025,0.07598163376591259
2.edf,160.0,16.0,0.2,2560,32,26,-0.2880355607952847,-0.3240321653784518,0.12082619162263486
2.edf,160.0,20.0,0.025,3200,4,20,0.4669646800989636,0.4686543958854551,0.043190372197840256
2.edf,160.0,20.0,0.05,3200,8,20,0.38678990516026973,0.3715079842621228,0.049001708313130055
2.edf,160.0,20.0,0.1,3200,16,20,0.13151191431843934,0.11853573284968774,0.056529124847340365
2.edf,160.0,20.0,0.2,3200,32,20,-0.20457068908001208,-0.2097056047796686,0.08273994392049641
3.edf,160.0,4.0,0.025,640,4,119,0.09728438977962262,0.07116870966502861,0.15539097875627914
3.edf,160.0,4.0,0.05,640,8,119,-0.08110170040362585,-0.1109042395689866,0.19333857383967384
3.edf,160.0,4.0,0.1,640,16,119,-0.29706675731594334,-0.3439919516767231,0.22566398393806095
3.edf,160.0,4.0,0.2,640,32,119,-0.37345097862640064,-0.4519422183234928,0.2828123319271778
3.edf,160.0,6.0,0.025,960,4,78,0.16940502418883685,0.15794238551248913,0.11594679397341322
3.edf,160.0,6.0,0.05,960,8,78,-0.0013969161284583809,-0.023429902004627516,0.16333215413075428
3.edf,160.0,6.0,0.1,960,16,78,-0.26581473932106425,-0.31457543708735924,0.16942604425046792
3.edf,160.0,6.0,0.2,960,32,78,-0.480396223448436,-0.5499186294530432,0.24227114981281378
3.edf,160.0,8.0,0.025,1280,4,57,0.22424418329292206,0.22773109941566386,0.1156824757653527
3.edf,160.0,8.0,0.05,1280,8,57,0.07772772374656911,0.06669951889096674,0.13118723034926383
3.edf,160.0,8.0,0.1,1280,16,57,-0.24260194511896893,-0.2660526764505536,0.20337108893715783
3.edf,160.0,8.0,0.2,1280,32,57,-0.516868322980643,-0.5867126612800201,0.31846100466365423
3.edf,160.0,10.0,0.025,1600,4,45,0.314508781414668,0.28913702067271946,0.10022489125059092
3.edf,160.0,10.0,0.05,1600,8,45,0.18437687094425148,0.14275557630390615,0.12829441198136632
